"Genes","0","20uM","200uM","1mM","5mM","10mM","EC50","R2","lower","upper"
"ALKBH2",1,1.07076354352128,1.02637016825352,1.01943830603679,0.633312675435953,0.447500110878472,4141.394,0.9962,0.394526836708996,1.03243858331191
"ALKBH3",1,0.909527179597519,0.752135270797523,0.612104051742995,0.393404373727002,0.343494824575944,2056.4123,0.9991,0.0257856850598286,1.00010610917986
"ALKBH4",1,0.984439644039853,0.995805456978242,0.836580269923466,0.696407621688642,0.689021253356858,978.7446,0.9993,0.692453459037393,0.993594415823319
"ALKBH5",1,1.00882694630273,0.919366416532821,0.817381651918774,0.57028455082415,0.402083147567551,35889.0352,0.999,-0.922126787473191,1.0087908923522
"EGLN1",1,0.992572442329323,0.959470831690656,0.875707129673697,0.462779291823847,0.313161033016316,3311.7898,0.9995,0.178708360164525,0.989713660024359
"FTO",1,0.952450165397445,0.792912609458416,0.751673474264566,0.516238075801479,0.542529040294171,1497.6058,0.9822,0.334572059199302,1.00232173747637
"HIF1AN",1,1.04845434991928,0.995945875003622,0.891687282306557,0.516899444365418,0.36244903690542,3619.1637,0.9985,0.186433269878483,1.02185323792796
"IDH1",1,0.971659088612022,0.9299960160103,0.900877842970805,0.770981918209698,0.65434974506932,30526.6581,0.9937,-0.0287246900605419,0.982757484605427
"JMJD4",1,1.04917118155448,1.01895537498484,0.990656402462243,0.67814523656986,0.650549262335607,2235.3268,0.9963,0.645992357973113,1.02283483788473
"KDM3A",1,0.932743398964244,0.938059121074585,0.869542379961828,0.763289702045497,0.67984192209091,16732.9408,0.9878,0.293023303480134,0.977197396473176
"KDM3B",1,1.01121766395755,0.965265395261688,0.811567843458848,0.490545812136414,0.393419017642247,2310.6322,0.9999,0.284659484444192,1.00588329593473
"KDM4A",1,0.999703679149325,0.891294616339178,0.798318595375425,0.572803797149771,0.454815824704454,15961.0781,0.9983,-0.266295563843827,1.00788078951462
"KDM6A",1,1.00177092727979,0.919506938725815,0.876476300289852,0.725912584414313,0.694131583662831,3758.0043,0.9934,0.518444308670375,1.00439263022255
"OAT",1,0.93217747288716,0.713406175913741,0.439054826349285,0.289913532910157,0.245437722932074,382.2059,0.9998,0.203936704344755,0.996650812354409
"OGDH",1,0.959941580639988,0.834040220509511,0.751678953671743,0.620620952570511,0.558201948831108,2629.0066,0.9978,0.329750419299412,1.00463896363085
"P3H1",1,1.01602308702774,0.730202355862894,0.35921079265916,0.133926565903857,0.168093622310064,390.5493,0.9983,0.125987904099214,1.01774105826338
"P4HA1",1,0.989742470614238,0.881344768421806,0.896840196190042,0.59401739714247,0.40934468445338,33410.2169,0.9892,-1.07143492112805,0.981527454857931
"PHF8",1,0.670258290605529,0.621082510015555,0.459558124120108,0.414196898767717,0.320024759112571,4687.3655,0.9924,-0.218858829477155,0.99862650649156
"RIOX1",1,0.933742598909301,0.948825816002217,0.863317213082408,0.717863447085435,0.709410429178588,1321.2969,0.985,0.695939575276566,0.9652446784918
"RIOX2",1,0.950407401781387,0.794072227388241,0.441442939371613,0.227072002300072,0.139988504527726,659.0712,0.999,0.0993093064470835,0.991541878219924
"RSBN1",1,0.8363950779094,0.642833733302158,0.323310447021749,0.164655154132746,0.142056037546946,355.1128,0.997,0.0383302643013924,0.98588667083832
"RSBN1L",1,0.720195216588348,0.454749132165705,0.315810501044358,0.190714917862248,0.128482181398112,144.7084,0.9994,0.0121743824514215,1.00123005331058
